,Date,ID,url,username,source,location,tweet,num_of_likes,num_of_retweet
9602,2023-02-28 02:47:41+00:00,1630399310436397056,https://twitter.com/bss004/status/1630399310436397056,bss004,Twitter for Android,,@AshwiniVaishnaw @narendramodi @PMOIndia @RailMinIndia @PIB_India @DDNewslive @BJP4Karnataka Dedicate some for Adani also,0,0
9603,2023-02-28 02:47:35+00:00,1630399285849382914,https://twitter.com/peyushkml/status/1630399285849382914,peyushkml,Twitter for Android,India,@AshishZBiz Matlab ye banda abhi bhi Adani me Triangle Breakdown dhoondh raha hai 😂😂,1,0
9604,2023-02-28 02:47:09+00:00,1630399177481125889,https://twitter.com/udaymanimadhya/status/1630399177481125889,udaymanimadhya,Twitter for Android,,@anarchist_vs @KTRBRS If BJP has adani i introduce tesla,0,0
9605,2023-02-28 02:47:02+00:00,1630399146955005954,https://twitter.com/A_kallis/status/1630399146955005954,A_kallis,Twitter for Android,,@vikasson @drshamamohd Suspend the projects. Let adani suffer financial losses.,1,0
9606,2023-02-28 02:47:00+00:00,1630399139531083778,https://twitter.com/Puneet60002458/status/1630399139531083778,Puneet60002458,Twitter for Android,India,@narendramodi Come clean on Adani hope his passport is confiscated and our PSU are safe not to bail out him at any cost...#IndiaNeedAnswer,1,0
9607,2023-02-28 02:46:51+00:00,1630399098212995073,https://twitter.com/Gazi_777annu_/status/1630399098212995073,Gazi_777annu_,Twitter for Android,"New Delhi, India","20 lakh CR khagaye,LAKHO CR Chanda hazam,RBI se 1lakh crore ka bail out,Badi hui GST,Adani ko sare govt ke upkaram jo 75 sal me bane.bech diye,apne dosto ka karza maaf?
ABY BECHARE App ne 10,20cr election ladne ka intezam ker bhi liya to kya bura kiya?
@ravishndtv @BBCHindi @ndtv",1,0
9608,2023-02-28 02:46:43+00:00,1630399067523280896,https://twitter.com/Kamlesh01351819/status/1630399067523280896,Kamlesh01351819,Twitter for Android,Noida Sector 73,@SushantBSinha Sale kabhi adani ki bhi inquiry kar ke bisleshan kar leta,0,0
9609,2023-02-28 02:46:41+00:00,1630399060229120000,https://twitter.com/gokulamtly/status/1630399060229120000,gokulamtly,Twitter for iPhone,Thalassery Kerala,"Now that it is absolutely clear that LIC slashed its funds (read our money) to blow Adani beyond his deserving size, will @narendramodi &amp; @nsitharaman withdraw that #gst on our LIC premiums. When will this Andhbakths realise that these gooys r playing with our h/e money 4 power🤷‍♂️",1,0
9610,2023-02-28 02:46:41+00:00,1630399056592896000,https://twitter.com/Aapcms2/status/1630399056592896000,Aapcms2,Twitter for Android,,@kharge @narendramodi Adani to 1% bi nahi hai is ke saamne👇... https://t.co/6HYYSCFwdK,0,0
9611,2023-02-28 02:46:40+00:00,1630399055816970242,https://twitter.com/Faiz_INC/status/1630399055816970242,Faiz_INC,Twitter for iPhone,India,"If Adani has grown to 2nd position from 609th it is because of @RahulGandhi, @INCIndia &amp; Nehru. If you too want to grow like Adani, support &amp; vote Congress. It is shame that Modi is avoiding JPC Probe only to save Congress.😜 #AdaniScam #FaizReporting #HindenburgReport @Faiz_INC",39,20
9612,2023-02-28 02:46:37+00:00,1630399041510191104,https://twitter.com/MeanderingWonk/status/1630399041510191104,MeanderingWonk,Twitter for Android,Wy,"@ConradkBarwa They'll have it when the time comes. Their investment arm probably gave the Adani rally the initial impetus it needed. They booked their money, and the devil got the hindmost.",1,0
9613,2023-02-28 02:46:09+00:00,1630398922287104000,https://twitter.com/mohan_tripathi/status/1630398922287104000,mohan_tripathi,Twitter for Android,"Lucknow, India","The Rise&amp; Fall of Gautam Adani is directly linked to a party&amp; it's Government too.
What will happen?

A month on, Adani drops from 3rd to 38th in rich list
 https://t.co/kW1Gve5c6b",0,0
9614,2023-02-28 02:45:29+00:00,1630398755701923840,https://twitter.com/SatyamShergill/status/1630398755701923840,SatyamShergill,Twitter for Android,"Hazaribagh Road, India",@AdaniOnline Hello adani group please job me,0,0
9615,2023-02-28 02:44:47+00:00,1630398581931917312,https://twitter.com/PriyamS77759825/status/1630398581931917312,PriyamS77759825,Twitter for Android,,"@TajinderBagga Tujhko theke, biriyani hi dikhte h bagge chappal chor🤣🤣🤣
Adani ki jaanch krwao.. Uske port se drugs baramad hue
Dry state Guj me zehrili sharab ka karobaar krte h BJP ke neta... Janch krwa",1,1
9616,2023-02-28 02:44:36+00:00,1630398533936496640,https://twitter.com/Sky_the_Akash/status/1630398533936496640,Sky_the_Akash,Twitter for Android,,"पुनः मुसको भवः 🙌

#Adani 
#AdaniGroups 
#AdaniScam",0,0
9617,2023-02-28 02:44:34+00:00,1630398525753413632,https://twitter.com/subodht05412366/status/1630398525753413632,subodht05412366,Twitter for iPhone,,@pallavict @narendramodi @AmitShah @Dev_Fadnavis @sanjayfadnavis1 @sukanyaiyer2 She is patient being treated for serious illness. Let’s keep brain ticking than shouting wrong all time. Respect parties by keeping focus towards your achievements than indulging forever in negative politics. Speak about Adani at least once and not about umbrellas covering ladies,0,0
9618,2023-02-28 02:44:32+00:00,1630398518648078336,https://twitter.com/RaviJangidBH/status/1630398518648078336,RaviJangidBH,Twitter for Android,"Jaipur, Rajasthan, Bharat","Hey loudspeaker @MahuaMoitra , your chief minister and TMC ( look like swear-word  ) party head momta dodi invited adani in Bengal business summit. And people know that when to buy and sell. Don't need advice from third class politician.",0,0
9619,2023-02-28 02:44:22+00:00,1630398476272926724,https://twitter.com/umakantsingh_IN/status/1630398476272926724,umakantsingh_IN,Twitter Web App,New Delhi,"I alone fighting all, against falsehood of #Hindenburg -Soros! My security compromised , I need bungalows or the people who standing with economic terrorism?रंगा बिल्ला #AdaniScam #stockmarketcrash",0,0
9620,2023-02-28 02:43:51+00:00,1630398343594606594,https://twitter.com/Sanjeev88931197/status/1630398343594606594,Sanjeev88931197,Twitter for Android,,"@narendramodi only one question 
adani when arrested",0,0
9621,2023-02-28 02:43:43+00:00,1630398310958891008,https://twitter.com/kunalpurohit/status/1630398310958891008,kunalpurohit,Twitter Web App,,"'Bangladesh Power Board rushed to sign a deal that allows #AdaniPower to mint money at every single phase, from coal purchase to electricity export.'

Across the world, Adani's businesses are being scrutinised. Except, in India. 

This, from Bangladesh. 

https://t.co/VKOoxDXx1c",7,0
9622,2023-02-28 02:43:38+00:00,1630398292768231424,https://twitter.com/Nizam95617505/status/1630398292768231424,Nizam95617505,Twitter for Android,,"@LICIndiaForever kindly check the app issue as OTP for applying online services is not coming .
Kahin kuch gadbad toh ni hai adani k chalte .",0,0
9623,2023-02-28 02:43:29+00:00,1630398253484371969,https://twitter.com/kapil_mondal76/status/1630398253484371969,kapil_mondal76,Twitter for Android,"Digha, West Bengal",@SanjayAzadSln Adani lakho karordo logo ko kam dia hai... Tum kia janoge,0,0
9624,2023-02-28 02:43:05+00:00,1630398151634075649,https://twitter.com/srspdkt/status/1630398151634075649,srspdkt,Twitter for Android,Pudukkottai,"World's '2nd Number' Amir Adani out of Top -30 , even Modi could not Save....! #AdaniScam https://t.co/fKjMRwRM0V",1,0
9625,2023-02-28 02:43:03+00:00,1630398145086607360,https://twitter.com/ashwani421/status/1630398145086607360,ashwani421,Twitter for Android,,"@drthomasisaac They have just changed the subject from Adani to Sisodia.
And, we are talking on new subject.",0,0
